Membership_Nbr,Visit_Nbr,Item_Nbr,transaction_Date,Primary_Desc,
121576585,237298828,2838497,1/2/2000,ALL ULTRA LIQUID    ,
268328209,236920595,2838497,1/2/2000,ALL ULTRA LIQUID    ,
394026872,236706770,2838497,1/2/2000,ALL ULTRA LIQUID    ,
277026838,237294457,2838497,1/2/2000,ALL ULTRA LIQUID    ,
275368346,236704561,2838497,1/2/2000,ALL ULTRA LIQUID    ,
764121493,236693346,2838497,1/2/2000,ALL ULTRA LIQUID    ,
684221868,236932638,2838497,1/2/2000,ALL ULTRA LIQUID    ,
277145389,237294528,2838497,1/2/2000,ALL ULTRA LIQUID    ,
765442644,236919757,2838497,1/2/2000,ALL ULTRA LIQUID    ,
752064893,237280910,2838497,1/2/2000,ALL ULTRA LIQUID    ,
14091179,237288890,2782663,1/2/2000,LADIES BLAZER       ,
179202521,237491996,2838497,1/2/2000,ALL ULTRA LIQUID    ,
348297549,236924434,2838497,1/2/2000,ALL ULTRA LIQUID    ,
274302632,236913814,2782663,1/2/2000,LADIES BLAZER       ,
631735374,236918146,2838497,1/2/2000,ALL ULTRA LIQUID    ,
528811518,237295567,2782663,1/2/2000,LADIES BLAZER       ,
19310790,236705885,2838497,1/2/2000,ALL ULTRA LIQUID    ,
474952885,237293798,2838497,1/2/2000,ALL ULTRA LIQUID    ,
504246317,236708092,2838497,1/2/2000,ALL ULTRA LIQUID    ,
384165116,236913749,2782663,1/2/2000,LADIES BLAZER       ,
583957091,236924344,2838497,1/2/2000,ALL ULTRA LIQUID    ,
756451828,237292496,2838497,1/2/2000,ALL ULTRA LIQUID    ,
684225968,236932869,2838497,1/2/2000,ALL ULTRA LIQUID    ,
274308382,236914016,2838497,1/2/2000,ALL ULTRA LIQUID    ,
368678613,236922903,2838497,1/2/2000,ALL ULTRA LIQUID    ,
402541373,237294449,2838497,1/2/2000,ALL ULTRA LIQUID    ,
632206450,236914955,2838497,1/2/2000,ALL ULTRA LIQUID    ,
227472065,236704710,2838497,1/2/2000,ALL ULTRA LIQUID    ,
274510631,236702045,2782663,1/2/2000,LADIES BLAZER       ,
